"Iteration: Iteration","D B Mean Monitor: Statistics of D B Monitor (N)","D D Mean Monitor: Statistics of D D Monitor (N)","D FW Mean Monitor: Statistics of D FW Monitor (N)","D RW Mean Monitor: Statistics of D RW Monitor (N)","D S Mean Monitor: Statistics of D S Monitor (N)","D SU Mean Monitor: Statistics of D SU Monitor (N)","D Wheels Front Mean Monitor: Statistics of D Wheels Front Monitor (N)","D Wheels Rear Mean Monitor: Statistics of D Wheels Rear Monitor (N)","Mean D Monitor: Statistics of Drag Monitor (N)"
1,1339.53330304447,137.128719557326,234.295462260063,722.897360355188,549.323585940935,228.771163023311,449.873366385417,465.339673916623,4127.16263448334
2,1094.62396904536,113.879950227655,186.293421030157,592.643959852745,443.089430267749,175.287581644125,350.561461876744,363.682594341954,3320.06236828649
3,767.007715281455,93.6884478866732,135.668064780596,448.054396349429,345.010765852371,139.651847654101,256.229773618007,262.843825637973,2448.1548370606
4,590.837504651759,79.2029244677752,105.792318270569,359.303995890471,283.290697526933,112.190240490313,199.311930546542,202.155081877929,1932.08469372229
5,480.893900246575,65.6269010597643,89.3041454856284,293.054258652692,236.703320487184,92.4699278306119,162.445632274548,162.062232226641,1582.56031826365
6,402.554856077337,56.0662868563577,77.614574430767,247.052415038249,204.018059764903,77.9955025736103,136.468509055145,134.174097147187,1335.94430094356
7,341.522298254818,48.9337402060988,69.2117413638601,215.62359120944,178.639098431794,66.9406036489591,117.194666354641,114.226429401866,1152.29216887148
8,296.525360785723,43.5371152433309,62.8645980974414,192.565217460582,159.156700046177,58.6365848024938,102.753446842462,99.4252526391812,1015.46427591739
9,264.553076692698,39.3920268352764,57.8392679603261,176.094814943859,143.666422869462,52.176780521423,91.5300635479454,88.287862346798,913.540315717787
10,239.1979793468,36.073817424572,53.7340004866935,162.931871013911,131.192031074455,47.0367475418218,82.5402169064088,79.4024101804454,832.109073975108
11,220.563858386197,33.5230872456672,50.022621234408,152.454006013533,121.223268081863,42.8653577324725,75.1526356055654,72.2565476155569,768.061381915263
12,205.141008330218,31.3957747225316,46.8948834833461,143.701802098739,112.935608273521,39.4100606430321,69.0201202032243,66.3389025255677,714.838160280179
13,192.422368275096,29.6099988507318,44.1608167969251,136.106070373115,106.151607794383,36.4864792458478,63.9096865749578,61.3521368970322,670.199164808089
14,181.518466889393,28.0714336945162,41.8074090672414,129.546752250774,100.355576838379,33.991809103567,59.5561930540268,57.0753719928715,631.923012890769
15,172.048854271381,26.7129189358265,39.7586596814382,123.716718809985,95.3495563044911,31.8276890759013,55.8224944559322,53.3409862697989,598.577877804754
16,163.660293702986,25.4931863012067,37.9874119300372,118.425354737553,91.0253155499281,29.9294680734152,52.614440592728,50.0298880922769,569.165358980131
17,156.222192231816,24.4080676576706,36.4254616664749,113.733601395465,87.1957929604263,28.2567697874392,49.7912377040328,47.1037942893016,543.136917692626
18,149.513057049752,23.4212085161135,35.0471357158296,109.514285992743,83.7272182570166,26.7687904807996,47.289178104221,44.4970538307163,519.777927947191
19,143.400244518597,22.516533948539,33.8227841651977,105.6997778631,80.5598420260308,25.4399030173306,45.0576812625238,42.1636413220376,498.660408123356
