"Iteration: Iteration","DF B Mean Monitor: Statistics of DF B Monitor (N)","DF D Mean Monitor: Statistics of DF D Monitor (N)","DF FW Mean Monitor: Statistics of DF FW Monitor (N)","DF RW Mean Monitor: Statistics of DF RW Monitor (N)","DF S Mean Monitor: Statistics of DF S Monitor (N)","DF SU Monitor: Force (N)","DF Wheels Front Mean Monitor: Statistics of DF Wheels Front Monitor (N)","DF Wheels Rear Mean Monitor: Statistics of DF Wheels Rear Monitor (N)","Mean DF Monitor: Statistics of Downforce Monitor (N)"
1,-90.0779939578133,312.096777462632,291.315265085737,725.708316046384,326.76300702742,-1.27468010701634,2.20682436250926,0.357545442426726,1567.09506136228
2,-113.501420719408,300.458229772309,239.099643868971,633.705147133261,295.439058819347,-0.391934959851647,1.10922620837275,-1.34976513839562,1354.12681241102
3,-72.8935749841043,302.784735598793,170.706232791341,516.131079998834,244.362464557409,1.06302419694849,-0.53981402318287,0.00362975268594745,1160.35355673514
4,-50.20056093825,292.997333299813,133.526244901075,438.624114872501,213.717889270492,1.13216880953997,-1.53370498433104,0.470372638049243,1027.73383354426
5,-24.5625079472866,249.134422426362,117.69997992226,358.515058158858,184.466759657961,0.535450261992851,-1.84256027945837,-0.408297375377241,883.215660203641
6,-7.45880354124067,218.294365627627,107.434514934231,304.30160368929,164.38546594008,0.667379838075363,-1.9946979075905,-0.944249462844831,784.306767286167
7,2.0245030798553,191.197085897619,102.262500196975,269.44471076363,149.21338961944,0.77858804504047,-1.90536564286744,-1.1327198935598,711.462674890338
8,8.03610913591793,170.181344177974,98.630652808312,244.583280937714,137.732812029268,0.733203062504102,-1.86051983597051,-1.30512064838366,656.403958498237
9,9.76160307522332,153.185183389284,95.9972548718035,228.492847947431,128.732996770204,0.727051472335038,-1.89097101235599,-1.49989716379575,613.220156835525
10,10.7282107777121,139.762701595335,93.7923336989628,215.910172572058,121.51548783081,0.67387142090434,-1.93188748605259,-1.65646402899538,578.584967163878
11,9.20269122342765,130.939845075766,91.2304480913706,206.721970772122,115.864020987795,0.654976559568845,-2.06199777067814,-1.77497786386937,550.603736752302
12,7.81858784365919,123.804955896066,89.0308489032692,199.096092426813,111.236055653822,0.63662726415428,-2.18067149126357,-1.86820892113623,527.432304133245
13,6.59541746914138,118.870124571149,86.9259822100972,192.453582667409,107.745533466847,0.679422343771964,-2.31741762930929,-1.93810850644198,508.843971803351
14,5.62025441727009,114.806497445532,85.1168346818871,186.728163777871,104.85818103329,0.671021126963088,-2.43819856695508,-1.99945282740536,493.212720628271
15,5.04471961205915,111.625358357925,83.567486476712,181.652703831388,102.649303466817,0.717890085222367,-2.55406366539413,-2.05663979637278,480.462472244478
16,5.22200997077767,109.361200077537,82.3184909668578,177.010781641507,101.216547814379,0.753137761473425,-2.65514067248288,-2.10765585340706,470.913558769021
17,5.46627868630316,107.391082341503,81.2425941028295,172.900517571655,100.001388567944,0.791258075661085,-2.74285249051901,-2.15158985691715,462.669092761463
18,5.89713436720744,105.617791371216,80.3693645295226,169.219030352205,99.0196222609984,0.873728108835121,-2.82589398164587,-2.18977678801925,455.686282298491
19,6.44967990481213,103.938467442454,79.6606743897907,165.909845572197,98.1891731627834,0.889335068714104,-2.90388781017893,-2.22707912054586,449.61221661683
20,7.06996360261699,102.285434969189,79.0911871986113,162.923563562386,97.4522156268375,0.889182981996769,-2.97890243158124,-2.26584563154132,444.18765196736
21,7.67009012118106,100.685825322798,78.6171707297507,160.216449057358,96.7773626049687,0.874166582127854,-3.05149924372988,-2.30588863956616,439.232122714616
22,8.22500863333344,99.0449648353241,78.2397527727176,157.746452216705,96.1384846122301,0.826985626750425,-3.12630914562181,-2.34970906812188,434.550547294099
23,8.70872993773968,97.4156773540459,77.9225403794692,155.485102970531,95.5329376340878,0.763192091904946,-3.20028189384726,-2.39392494652623,430.108392118875
24,9.11536900285815,95.8042062771087,77.6573748229219,153.40867234651,94.9585221198074,0.668982959294488,-3.2740800512995,-2.44076968591493,425.86821269353
25,9.43889510099987,94.2007850371311,77.434941832991,151.497858554457,94.4109594459898,0.546048451363482,-3.34842234335133,-2.48835828371266,421.781862429636
26,9.67911091717232,92.608809832901,77.2447705921688,149.735749902543,93.8849539123483,0.406708986956548,-3.42323325862173,-2.53700636994788,417.81957037915
27,9.84185471051766,91.0388834786937,77.0802594850614,148.108922849193,93.3830231126872,0.247545253620906,-3.49763661125672,-2.58480393788257,413.982885730305
28,9.93058047394596,89.5018364990256,76.9343054941874,146.606308848842,92.9020139640695,0.0680365867992981,-3.57087315058629,-2.63165543144065,410.265458410745
29,9.96010117145185,88.0026386408878,76.8025015934032,145.217542139463,92.443473687418,-0.117630817596017,-3.64258156262406,-2.67768656978743,406.67442831187
30,9.93914172355367,86.5519233739275,76.6834576367578,143.933613040876,92.0078599139545,-0.310932053271263,-3.71177153393489,-2.72250749167186,403.220843499622
31,9.88288773960805,85.1599204157486,76.5752228263422,142.746705273522,91.5990175866061,-0.500198400229009,-3.7782953749531,-2.76631192969509,399.92474675281
32,9.80117356098648,83.8337707280611,76.4784413260836,141.650157561685,91.2164994992642,-0.673539750525123,-3.84181244971887,-2.80893423720187,396.798048080849
33,9.70305670945871,82.5763831760657,76.3931639001362,140.637816010426,90.8618360200888,-0.840640611229011,-3.90220921252963,-2.84999608650668,393.849124042072
34,9.59891951911477,81.3893400351881,76.3209366217696,139.702527282608,90.5366256724147,-0.989786394950124,-3.95964373138414,-2.88919626770631,391.086851482824
35,9.49549273620853,80.2706988946478,76.262901847936,138.837784427632,90.2408587645687,-1.12235247185873,-4.01425257252183,-2.9270543042258,388.510638007274
36,9.39686124719855,79.2181431612877,76.220308661608,138.037825528399,89.9722832007104,-1.2303679414128,-4.06609371269313,-2.96308985537736,386.116708217649
37,9.30622076791971,78.224565106226,76.1901211528059,137.292563091721,89.7255058084566,-1.30213879585107,-4.11507459649022,-2.99735340995785,383.883704156322
38,9.22684003111729,77.2834206301847,76.1774210315733,136.603429286379,89.5021926778552,-1.38780540839402,-4.1614750738521,-3.03024823287736,381.815448121704
39,9.15562600157663,76.3884672658491,76.1769659931996,135.959378639966,89.2955725956281,-1.39486360795838,-4.20519895637223,-3.0615145040053,379.881915284621
40,9.09531518504189,75.5306183375969,76.1947893589295,135.359749269798,89.1056610043407,-1.39429083925036,-4.24583394261122,-3.09076466677539,378.082980067899
